artifact	type	sha256	notes
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/dark-uiux-pr08-director-forest-parity-1280x800.png	alpha038-packaged-full-window	60c2ac2d4a7fda686b672329be5cf24039e49deb995a789cc26767f2c69a8c57	forest-edge packaged full-window capture with temporary family ghost alpha 0.38
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/dark-uiux-pr08-director-forest-map-stage-crop.png	alpha038-packaged-map-crop	ee55a042d3653c803d235a51683e6fc9f0c1448c71a4af19e0040f753f05c6ab	forest-edge map crop with temporary family ghost alpha 0.38; rejected
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/dark-uiux-pr08-director-forest-right-panel-crop.png	alpha038-packaged-right-panel-crop	21d9851b0e5e485e2bf512c1acb043cff99b1460ea480a0464c047a6f88b0e58	forest-edge right-panel guard crop with temporary family ghost alpha 0.38
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/dark-uiux-pr08-director-forest-bottom-deck-crop.png	alpha038-packaged-bottom-deck-crop	62f03ab0699e6143f58fba6ef774e3641663db57d0fc248462d94c819b9ac86f	forest-edge bottom-deck guard crop with temporary family ghost alpha 0.38
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/dark-uiux-pr08-director-forest-map-stage-app.log	alpha038-packaged-app-log	f77258ca668f912528e04f0582bcf9fd44a05a9da95ecc4d964219323bedd599	forest-edge packaged app log for temporary alpha 0.38 capture
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/dark-uiux-pr08-director-shadow-depths-parity-1280x800.png	alpha038-packaged-full-window	a8a4bc8ed2aa4055b0312a474f8fb7af1a4adbea5d00f6d22624cda3e78bc3e7	shadow-depths packaged full-window capture with temporary family ghost alpha 0.38
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/dark-uiux-pr08-director-shadow-depths-map-stage-crop.png	alpha038-packaged-map-crop	1ab762b5dbdc045da78586f06d275aac310c28066e219f7a4ed65a4cacbb1bc3	shadow-depths map crop with temporary family ghost alpha 0.38; rejected
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/dark-uiux-pr08-director-shadow-depths-right-panel-crop.png	alpha038-packaged-right-panel-crop	55dae26486db0a30ecb253c42fcb3837b86f8ce02042f850b6d272523937f3cc	shadow-depths right-panel guard crop with temporary family ghost alpha 0.38
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/dark-uiux-pr08-director-shadow-depths-bottom-deck-crop.png	alpha038-packaged-bottom-deck-crop	f564bf8d5fe432d69648de0cf8e6e244e1e40d2f682638a15fd8885d0a39ad79	shadow-depths bottom-deck guard crop with temporary family ghost alpha 0.38
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/dark-uiux-pr08-director-shadow-depths-map-stage-app.log	alpha038-packaged-app-log	6f315cd8a043ff3636394c52092fec560df0f3e553c361c9eaed6872ba220419	shadow-depths packaged app log for temporary alpha 0.38 capture
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-material-authority-2026-06-03/alpha038/non-ruins-family-ghost-alpha038-ab-board.png	alpha038-review-board	3d39330d889bcbf6dd04f4596bce8b482fd99181721582758cbe46fd5e58a32e	previous V4 vs accepted family ghost 0.22 vs temporary alpha 0.38 board; alpha 0.38 rejected
