artifact	type	sha256	notes
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/previous-v4/dark-uiux-pr08-director-forest-map-stage-crop.png	previous-packaged-map-crop	0950115319c99cfecac56babdbb94690421d9a90a633461f8b134c9943ab9868	forest-edge previous V4 packaged map crop before topology-risk source-only path
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/previous-v4/dark-uiux-pr08-director-mine-map-stage-crop.png	previous-packaged-map-crop	1a81bacfe7d63245ebc833c47d6c378baddfe970d03d182d8f4ece229faa335d	mine previous V4 packaged map crop before topology-risk source-only path
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/previous-v4/dark-uiux-pr08-director-shadow-depths-map-stage-crop.png	previous-packaged-map-crop	d9e57405a62fc1206a8a90706b19cf660c62ca0349b6491f7ab2d89fa03b0d15	shadow-depths previous V4 packaged map crop before topology-risk source-only path
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/topology-source-only-rejected/dark-uiux-pr08-director-forest-map-stage-crop.png	rejected-packaged-map-crop	7fd16fb2ccb3c4583714a70c84abdc56bd7f1009ac669c8ecbdad74403a451c8	forest-edge topology-source-only packaged crop; rejected because it becomes grid/source-strip first-read
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/topology-source-only-rejected/dark-uiux-pr08-director-mine-map-stage-crop.png	rejected-packaged-map-crop	ac1bf0117f6041b4bdf1f6ff25d345ce1da9c1d39f2e6bab87e9d55480a821a4	mine topology-source-only packaged crop; held visually but does not rescue forest/shadow
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/topology-source-only-rejected/dark-uiux-pr08-director-shadow-depths-map-stage-crop.png	rejected-packaged-map-crop	ee04f7fc4932e34e45d38b46d5da3957c2c2384d277e36c55e95f7998150fd5d	shadow-depths topology-source-only packaged crop; rejected because it becomes flat grid/source-strip first-read
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/packaged-non-ruins-wall-family-topology-source-only-rejected-board.png	rejected-review-board	30661acf94ffb51800c7f6319165de33a897a8c7afb83f31734db7175fc9feac	three-family board comparing previous V4 against topology-source-only rejected crops
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-forest-parity-1280x800.png	family-ghost-packaged-full-window	98094de847aaa520046efa3b5a6806e68007aeeed616d18d0b60153c1d77cf27	forest-edge packaged full-window capture after low-alpha family ghost compositor recovery
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-forest-map-stage-crop.png	family-ghost-packaged-map-crop	60c95a8d5ee7e13fb8b8e95b85cbcf2ec897ed8702ed8f69b8d519972afae574	forest-edge family-ghost V1 map crop; improved over source-only but below previous V4 richness
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-forest-right-panel-crop.png	family-ghost-packaged-right-panel-crop	497dc5498293d8a33b1d5b2c1270d896c35b92a8a2c9c47261c36a948be13335	forest-edge shell guard right-panel crop
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-forest-bottom-deck-crop.png	family-ghost-packaged-bottom-deck-crop	1792f55bf0f07e151e8e32840624e654a955255c4948b56edeb4f2af81df87e0	forest-edge shell guard bottom-deck crop
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-forest-evidence-summary.png	family-ghost-packaged-evidence-summary	d32deaf941770ad548942f81d0f764866335c9f0433b015b3a8d3ee8a894ac49	forest-edge packaged evidence-summary capture retained from this parity packet
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-forest-map-stage-app.log	family-ghost-packaged-app-log	aaa22ece279efed112fcd319e0f4139c0df79187abfba6d0626c37fd757cde03	forest-edge packaged app log for family-ghost V1 capture
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-mine-parity-1280x800.png	family-ghost-packaged-full-window	b279d5cd142ceb393ecf122563caea9fa261d0d4b9420c7b20aa93f6b2a4c31f	mine packaged full-window capture after low-alpha family ghost compositor recovery
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-mine-map-stage-crop.png	family-ghost-packaged-map-crop	dcc8920a762ce554be4cd8c54afeed859ee06b8aad04a5fd7d454682aef4fef3	mine family-ghost V1 map crop; closest to previous V4 among the three families
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-mine-right-panel-crop.png	family-ghost-packaged-right-panel-crop	da2334c175c393e3bbaf4ac62c57068db8c11352c86a62ce843baa3f3e81897e	mine shell guard right-panel crop
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-mine-bottom-deck-crop.png	family-ghost-packaged-bottom-deck-crop	09643fd61cc6feebe4251e338341d5551eabf2872e7a9be972c930187e7731d1	mine shell guard bottom-deck crop
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-mine-evidence-summary.png	family-ghost-packaged-evidence-summary	a3f7e6a06d2b0429cb35c7426f93d58fbdf401ae893bb6bc7dbfe471699c0d30	mine packaged evidence-summary capture retained from this parity packet
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-mine-map-stage-app.log	family-ghost-packaged-app-log	daf581bfb43b8c08b15ff3a6688acec28560551ebfd4eeeb198f73ec0c21ca88	mine packaged app log for family-ghost V1 capture
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-shadow-depths-parity-1280x800.png	family-ghost-packaged-full-window	b91a353a8e60926d1e7d600f4118a1ee3312384b3ef77c16cc8d0a01dc9c1d0b	shadow-depths clean packaged full-window recapture after moving mouse out of the map
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-shadow-depths-map-stage-crop.png	family-ghost-packaged-map-crop	3c5f1f494c434f7624dd00f5811ef7b76ec958e40e24aac8adc45b590ebc132c	shadow-depths clean family-ghost V1 map crop; hover-tooltip polluted capture was replaced
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-shadow-depths-right-panel-crop.png	family-ghost-packaged-right-panel-crop	815fc8ca280661fc23d1e5ce70e5806285daf7c77821fdee699985abb526e1dd	shadow-depths clean shell guard right-panel crop
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-shadow-depths-bottom-deck-crop.png	family-ghost-packaged-bottom-deck-crop	261c14c775f87239b3b4c86aa4cc40f4ab1229c12e64d6fc3448cff9e51b4669	shadow-depths clean shell guard bottom-deck crop
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-shadow-depths-evidence-summary.png	family-ghost-packaged-evidence-summary	19521c31c5aab295ba9a3330be8bbd6e97e5c579839343139a2724b60d4c1dff	shadow-depths packaged evidence-summary capture retained from this parity packet
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/family-ghost-v1/dark-uiux-pr08-director-shadow-depths-map-stage-app.log	family-ghost-packaged-app-log	20e12790560292a6ea85a25d93b28b441be70444945de3f57c49b3e24399338e	shadow-depths packaged app log for clean family-ghost V1 recapture
UI/review/dark-uiux-pr08-exploration/non-ruins-wall-family-packaged-parity-2026-06-03/packaged-non-ruins-wall-family-family-ghost-v1-board.png	family-ghost-review-board	19a40a9e61fa60b8c1cace69745364b3cd571541c88b793cfdf929bc9c01d0b2	three-row board comparing previous V4, topology-source-only rejected and clean family-ghost V1 packaged map crops
