artifact	type	sha256	notes
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/dark-uiux-pr08-director-forest-parity-1280x800.png	layer-order-packaged-full-window	61821c0548442fc7b383a04859dbae42e4b0ed975443f48044278df828e3179c	forest-edge packaged full-window capture with temporary source-then-family-ghost order
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/dark-uiux-pr08-director-forest-map-stage-crop.png	layer-order-packaged-map-crop	229c46172d4476322fd7202857284fc7d6153b036357664ddc1a0913e996f0e8	forest-edge temporary source-then-family-ghost map crop; rejected
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/dark-uiux-pr08-director-forest-right-panel-crop.png	layer-order-packaged-right-panel-crop	4396b45cd0042a975bbb098dd913ef1b63fac3605d18e71151c3fdd0abee5712	forest-edge right-panel guard crop from rejected layer-order probe
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/dark-uiux-pr08-director-forest-bottom-deck-crop.png	layer-order-packaged-bottom-deck-crop	1a66ad160640fd05c192f2dba7de4dcdc6a59cb54c48fbebd7c25b1de5f6859b	forest-edge bottom-deck guard crop from rejected layer-order probe
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/dark-uiux-pr08-director-forest-map-stage-app.log	layer-order-packaged-app-log	f1943cf7596706b2f682b8b4870d8cac2ae6bcdad09064b25b163f9a77d5bf5c	forest-edge app log from rejected layer-order probe
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/dark-uiux-pr08-director-shadow-depths-parity-1280x800.png	layer-order-packaged-full-window	cb171303d4184cabe3b69d4cf9694822666f95958e257be4bb2c478a58a03583	shadow-depths packaged full-window capture with temporary source-then-family-ghost order
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/dark-uiux-pr08-director-shadow-depths-map-stage-crop.png	layer-order-packaged-map-crop	d57eb9a3c473adab0e032cce35e8bed9d724c5d3fb99fca119be48d6e132930c	shadow-depths temporary source-then-family-ghost map crop; rejected
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/dark-uiux-pr08-director-shadow-depths-right-panel-crop.png	layer-order-packaged-right-panel-crop	7197529389421bd5f69d571c02c080d7d6ebd9712f5ae09c394dc1849f4baae2	shadow-depths right-panel guard crop from rejected layer-order probe
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/dark-uiux-pr08-director-shadow-depths-bottom-deck-crop.png	layer-order-packaged-bottom-deck-crop	3aacb5cba8eb058c1d73f69319ff4fdfbaf0afad0e67dab008d0bdce79ae512b	shadow-depths bottom-deck guard crop from rejected layer-order probe
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/dark-uiux-pr08-director-shadow-depths-map-stage-app.log	layer-order-packaged-app-log	7d9e0f1ba77e02e37b1034a433aaa016fd7bc6ae39876c2a06205f80ee995b60	shadow-depths app log from rejected layer-order probe
UI/review/dark-uiux-pr08-exploration/non-ruins-family-ghost-layer-order-2026-06-03/source-then-family-ghost/non-ruins-family-ghost-layer-order-ab-board.png	layer-order-review-board	fd7b7f74417b7c32cec815da6f7668930f95bae025b9e78ed5d404e9a5d6db9d	previous V4 vs family-ghost before-source vs temporary source-then-family-ghost board; rejected
